學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數(D),當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,當學年度全校招生特色說明
113,公立,一般大學,0013,國立中正大學,3404,2,3186,90,93.81,"本校以「新世代、新思維、新定位」為核心概念,培養學生思考能力、生活能力、運用資訊/媒體與科技能力、工作能力四個終身受用的關鍵能力,期許透過多元招生方式,結合教育部推動「適性揚才」理念且兼顧學系適性選才和多元指標的選才管道,擇選具有高學習熱忱及對學系有認同感之學生,使其能在符合興趣環境下自主學習,並提供不同背景、區域的學生就讀機會,促進學生組成多元化,拓展學生視野,為國家培育具職涯競爭力及國際移動力的跨領域優質人才。作為雲嘉地區指標性的綜合型大學,本校擁有文、理、社科、工、管理、法、教育等7個學院,以及前瞻製造、高齡研究、國家政策研究、奈米生物檢測等4個特色研究中心是進行跨領域學習的沃土。因此,本校透過建構適性揚才、多元拔尖的招生選才機制,展現大學應有的社會責任,讓在特殊領域有優秀表現的學生,不受現行招生管道限制,也讓經濟弱勢、原住民、新住民子女有更多入學機會,呈現出本校多元招生特色。"
113,公立,一般大學,0014,國立高雄師範大學,1946,0,1741,35,89.65,"一、定期製作校務成果簡報展現師生優質表現,設置媒體專區提升校務治理成效之能見度,爭取利害關係人之認同,提升學校聲譽,獲得社會大眾瞭解與肯定。二、重視與各招生管道的連結,學士班強化與高中端交流,積極到各高中宣傳,亦主動針對高中生書審資料及面試準備提供諮詢建議,以提高對本校的認同與辦學信心。碩、博士班招生除了至各公私立大學、補習班、產學界、社區積極宣傳,更積極辦理招生說明會、經營網路社群平台與粉絲團；定期舉辦校友聯誼,透過校友團隊力量為本校爭取更多潛在生源。三、為落實扶助弱勢的高教公共性精神,除開設原住民專班,並積極於招生場域宣導弱勢助學措施、透過入學管道優先錄取弱勢學生、報名費優待等,具體強化弱勢助學措施。四、針對國際生,積極參加越南、港、澳等地教育展,南向進行馬來亞西、印尼、印度、泰國之招生拓點計畫,並以獎學金、學雜費減免或住宿費減免、企業實習、全英授課及博士班招生等,吸引外國學生就讀。"
113,公立,一般大學,0015,國立彰化師範大學,2399,0,2295,64,95.78,"本校除了建立師範菁英教育體系及培育優秀中學師資之外,更均衡發展七個學院,創造多元豐富之學術領域,且在人文社會與科技產業各層面積極發揮影響力。本校以優質的師資、設備與適性的學術氛圍,致力啟發學生潛能並培育多元專業能力,使其成為國家中堅人才。為了打造優質的大學校園,近年來積極進行校園之軟硬體建設,讓學生能在優質校園環境的薰陶下,徜徉於自由學術園地,建立專業與自信,為未來的圓滿人生奠立良好基礎。本校除了注重培育學生兼具品德與跨領域的專業素養之外,更積極形塑人文與科技並重的校園文化,在追求知識與體能均衡發展的同時,兼顧傳統與創新,以及生命的關懷與圓滿。未來亦將持續秉持「務實、行動、效能」之精神,致力於校園建設,以培養學生的專業能力與品德為最高之教育願景！"
113,公立,一般大學,0017,國立臺北大學,2633,0,2483,181,94.67,"本校創立於1949年,歷經臺灣省立地方行政專科學校、省立法商學院、中興大學法商學院等階段,2000年,全新的「國立臺北大學」正式成立。承載過往知名的法、商優良傳統,加入了人文、電機資訊等學科後,現在的臺北大學是一所以學生為本位、朝向研究與教學並重的綜合型大學。回顧過去,本校培育了於十萬校友,遍布各公私部門,在各領域都有傑出的表現,不僅是臺灣經濟與社會發展重要的堅石,帶著臺灣經驗,進軍世界各地,也都創造了卓越的成就。本校的教育目標要培養兼具跨界專業核心能力、人文社會關懷、現代科技素養以及國際移動力的世界公民。本校促進跨校資源整合,與北科大、北醫及海洋大學共組「臺北聯合大學系統」,師生得以共享四校教學與圖書資源,拓展學習廣度和視野。本校亦與世界各地知名大學合作,協助學生在校期間就能累積世界移動能量。本校致力建立與在地社區、組織、機構的緊密鏈結管道和合作關係,善盡大學社會責任,促進社會共融。"
113,公立,一般大學,0018,國立嘉義大學,3439,24,2945,55,86.46,"有關本校招生特色說明,請詳見本校招生資訊網頁https://website.ncyu.edu.tw/admission"
113,公立,一般大學,0019,國立高雄大學,1576,3,1483,56,94.48,"一、擁有自由的學術研究環境,培育視野遼闊且具人文與科學素養的學生。教學單位設有人文社會科學院、法學院、管理學院、理學院、工學院等五大學院,以卓越教學自我期許作育英才。 二、強調「創新」、「新穎」及「特色」的系所,課程則著重「理論」與「實務」相結合的「應用」面,推展「全人教育」理念,提倡全方位學習的「成人」教育。設計核心學程及整合學程,並以「專業化的師資」、「科技化的設施」與「多元化的制度」提昇高等教育水準,邁向國際一流之卓越大學。 三、本校為新成立的大學,圖儀設備新穎、教學成果卓越、學術研究輝煌,每年除了聘任年輕師資(平均年齡約42歲)及廣辦各式學術交流與研討活動外,熱情友善的職員工以高效率之行政,輔以高科技設施及電子化流程服務全校師生,讓師生在多元、科技、舒適的環境中授課及學習,以期培育學生成為全球頂尖之菁英。"
113,公立,一般大學,0020,國立東華大學,2598,24,2228,234,87.68,"本校目前有人文社會科學學院、理工學院、管理學院、原住民民族學院、花師教育學院、藝術學院、環境暨海洋學院及洄瀾學院等八大學院,涵蓋領域廣泛,並且擁有學士班、碩士班、碩士在職專班及博士班完整學制,提供學生學習深度、廣度的機會及空間。在資訊科技瞬息萬變、國際情勢牽一髮動全局的新世紀,物流趨向、經濟管理已朝全球運籌方向發展,自然資源的維護與管理亦是刻不容緩,東華不但以永續經營的理念、資源整合的方式培養具有國際視野的人才,也結合地方特色、研究在地產業,舉凡石材、生物科技、電腦軟體、港區產業、觀光休閒以及東部人力資源等,兼具地域特性與時代趨勢的研究方向,正是東華躋身國際學術主流的籌碼。"
113,公立,一般大學,0021,國立暨南國際大學,1568,0,1432,119,91.94,"國立暨南國際大學位於臺灣地理中心南投縣埔里鎮,四周層巒疊翠視野開闊,校地面積150公頃,國道六號通車往返學校便捷。目前設有人文、教育、管理、科技、水沙連及護理暨健康福祉等6學院,計有25個學士班（組）、28個碩士班（組）、7個碩士在職專班、15個博士班（組）。本校設校時訂定強化人才培育、增進僑教功能平衡區域發展、推廣國際交流為發展目標。設校之初,優先設置東南亞研究中心,積極推展僑教任務與國際交流,打造國際化大學特色;嗣後積極省思大學在地社會責任,期望藉由扮演地方公共智庫與人才培育孵化器兩種角色,輔以社會參與式教學與行動研究設計,連結在地城鎮的公共社群,協力發展共學共工的水沙連大學城。 目前發展重點特色：1.配合在地發展需求,設置相關專業系所。2.以培養社會實踐人才為目標,規劃跨領域特色學程。3.設置特色研究中心,開展各項社會實踐行動研究方案。4.滾動式制度修正,建構大學社會責任的支持系統。"
113,公立,技專校院,0022,國立臺灣科技大學,2930,3,3013,332,100.00,"本校四技對外招生之系組包含機械工程系、材料科學與工程系、營建工程系、化學工程系、電子工程系、電機工程系、資訊工程系、工業管理系、企業管理系、資訊管理系、設計系工業設計組、設計系商業設計組、建築系、應用外語系及全球發展工程學士學位學程等。本校師生近年來在國際上各項排名,均有傑出表現,舉凡英國QS高等教育機構世界最佳大學、英國泰晤士報全球最佳大學、德國iF及紅點設計獎、英國TIMES世界大學領域排名(社會科學領域)、英國QS全球學科前兩百大最佳排行等。另外,各系所畢業校友畢業出路包含出國繼續深造、國內深造以及投身於產業界。由於實作經驗豐富,理論基礎完備,工作態度認真,畢業校友擔任政府要職、大學教授及企業主管者眾多,深受肯定。"
113,公立,技專校院,0023,國立雲林科技大學,2787,0,2601,92,93.54,"本校以「創新教學與產業對接為特色的國際知名大學」為發展願景,秉持「誠敬恆新」之校訓精神,為社會與產業培育人才。YunTech以師生的發展對接經濟、環境、社會永續發展需求、為地方與全球福祉做出卓著貢獻、塑造創新、智慧、友善、永續的校園、以及名列亞洲百大、世界千大為目標；並以五化為策略：(1)特色化：創造對接場域的教學與研發特色,(2)學術化：瞄準產、學應用的基礎研究,(3)產學化：加值產業與教學創新的產學合作,(4)國際化：吸引優秀國際師生加入教學與研發團隊,(5)精準化：校務數位轉型與精準教育。本校現有四技（含進修）、二技、碩士（含在職）、博士班學制,提供多元入學管道,並提供多項助學方案,設置獎助學金、入學優異獎學金、校外競賽傑出表現及證照獎勵金等照顧學生方案。本校積極爭取產業界及政府資源挹注,發揮強大的產學研發實力與學術研究能力,讓師生成就被世界看見與發光！"
113,公立,技專校院,0024,國立屏東科技大學,2633,11,2182,109,83.89,"1、全人化－透過課程的教學以及無形的陶冶與溫馨的關懷,健全人格發展,使學生不僅是具有工作能力的專業化,也是兼具社會責任的社會人與富有人文關懷的文化人。<br> 2、專業化－掌握人力市場資訊,培養學生具有紮實的工作能力、學習能力與創造能力,以符職場需求,或從事科技研發與經營管理,以促進國家產業升級。<br> 3、國際化－因應國際化趨勢,培育學生立足地球村應有的素質,強化國際語文能力,增進對國際社會的認識,瞭解國際政經的發展,提升學生國際競爭力。"
113,公立,技專校院,0025,國立臺北科技大學,3207,3,3270,284,100.00,"北科大創立於民國元年,與國同壽,畢業校友十餘萬人,培育無數臺灣各階段經濟發展關鍵產業之技術人力,臺灣上市、上櫃公司主要負責人有10%以上為本校校友,素有「企業家的搖籃」的美稱,深獲社會好評。111年Cheers企業最愛大學調查名列技職第1、111年度獲1111人力銀行全臺公立科技校院第2名。  北科大實施校外實習及程式設計相關課程必修,亦配合國家產業發展設立主題式跨領域或新興領域學程提供學生修習,與臺積電等龍頭企業合作開辦產業鏈結學程,合作企業提供實習機會,完成學程同學獲得優先面試與較高起薪之待遇。本校並為「臺北聯合大學系統」成員,北大、北醫及海大提供跨校選課、輔系、雙主修、學期交換等多元跨域學習,同學可享受四校資源及共同課程。"
113,公立,一般大學,0028,國立臺北藝術大學,747,1,726,56,97.51,"本校成立於1982年,當時名為「國立藝術學院」,2001年改名為「國立臺北藝術大學」,目前設有音樂、美術、戲劇、舞蹈、電影與新媒體、文化資源、人文等7個學院,10個學系/學程、19個碩士班、4個碩士在職專班、5個博士班,以及通識暨共同教育委員會。  作為台灣最重要的藝術人才孕育場域,北藝大宗旨為「兼顧傳統與現代、國際與本土並進」,培育藝術創作、展演及學術研究人才,以創造藝術發展之新契機。在設備上,北藝大除了擁有一座藝術資料完整的圖書館之外,也是全台灣目前唯一擁有自己的專業音樂廳、戲劇廳、舞蹈廳、美術館與電影院的大學學府。本校也持續進行國際交流,與世界各國藝術教育接軌,並與一流藝術校院締結姊妹校,使本校成為高度國際化之專業藝術學府。"
113,公立,一般大學,0029,國立臺灣藝術大學,1382,4,1257,55,91.56,本校博士班學制包含六大班/系所(組)、碩士班學制包含二十班/系所(組)、碩士在職專班學制包含十三班/系所(組)、學士班學制包含十五學系(學程)、進修學士班學制包含十一學系、二年制在職專班學制包含六學系。
113,公立,一般大學,0030,國立臺東大學,1490,17,1289,9,87.58,"國立臺東大學創立於民國37年,早期為一所以培育國小師資為主之師範學院；民國92年8月1日改制並更名為「國立臺東大學」,除原本的師範學院外,再增設人文學院及理工學院,成為一所綜合型大學；民國103年,隨著本校知本校區落成啟用,各學院全數遷至知本校區(即校本部),以發展學術研究及教學活動為主,而臺東校區則規劃為產學營運、推廣教育暨各類特色中心,帶動地方發展。 本校設有師範、人文及理工學院,教學及研究範疇包含教育、語文、社會、人文、運動、藝術、資通訊及數理等各種領域,招收大學部、研究所及進修學制等學生,學生數約為5千人,是一所溫暖精緻、師生關係融洽的教學型大學。"
113,公立,一般大學,0031,國立宜蘭大學,1456,2,1387,22,95.46,"★本校榮獲泰晤士報高等教育特刊THE「2024年全球影響力大學」排名全國前30%及英國高等教育調查機構QS「2024 亞洲大學」排名全國前25%,獲國際肯定。  ★校區位於宜蘭市中心,交通便捷、生活便利,另有城南校區、大礁溪林場、五結校區、金六結農場、南澳農場等多元教學場域,提供專業跨領域課程,厚植人工智慧、綠色科技、精準健康、高齡產業、智慧農業等技術。  ★教育部人工智慧學程大學聯盟(TAICA)夥伴學校,串聯國內頂尖大學AI課程與師資,成為東部AI發展核心基地。  ★連續榮獲教育部獎勵大學教學卓越計畫及高等教育深耕計畫肯定補助。  ★工學院及電機資訊學院各學系皆通過IEET認證,畢業學歷受國際認可。  ★全球72所海外姊妹校,提供多項國際雙聯學制,全球學習管道暢通無虞。  ★校外134間實習機構,結合校園與企業資源,透過企業夥伴人才培育及就業輔導,順利銜接職場。"
113,公立,一般大學,0032,國立聯合大學,2053,3,1832,28,89.51,"現有「理工學院」、「電機資訊學院」、「管理學院」、「客家研究學院」、「人文與社會學院」及「設計學院」,包含19個學系(含15個碩士班)、2個學位學程、1個在職專班、1個獨立研究所、1個原住民專班、1個博士學位學程、1個博士班。本校針對「在地文化」、「優質教學」、「研究創新」及「社會服務」四大願景進行規劃,積極推動跨領域人才培訓,擴大產、學、研人工智慧策略聯盟,強化學生產學實習與就業能力,拓展國際移動力,鍛造出就業競爭力。"
113,公立,技專校院,0033,國立虎尾科技大學,3238,0,3054,37,94.38,"虎尾科大以發展泛機械群工程技術領域創校,在精密機械、光機電整合、資通訊應用、綠能與節能、生物科技、以及精緻農業等工程領域,已發展為極具創新研發能量的「工程技術型科技大學」。本校深耕精密機械領域,為國內智慧機械發展重點培育學校,並以「邁向具有重點特色的精緻型卓越科技大學」為目標,建置智能機械與智慧製造研究中心與國立唯一航空維修中心。107年榮獲教育部高等教育深耕計畫經費補助並為全國科大第三名,更於108年工程教育認證獲得最優佳績；112-116年第二期持續於112年獲得補助金額2億4150萬元並為全國科大第四名。為深化實務教育與產業鏈結,擘劃創新產學校園,擬定五大發展面向,期能落實智慧校園、智慧學習,鞏固虎尾科大產學研優勢並善盡社會責任。因應多元化之社會發展,積極打造「創新產學校園」,攜手企業育才、共同成長。"
113,公立,一般大學,0035,國立臺南藝術大學,416,0,372,4,89.52,"本校為一藝術專業大學,「修藝進德,臻於卓越」為學校發展願景。在校長帶領下秉持「藝術承傳、守護、轉化、創新」之使命感,以「藝術擴張、跨域、實驗、連結」的策略發展校務,致力營造提昇美感教育、啟發創造力及融合藝術於生活之優質學習環境,使師生在自由、自在及自信的學風中,成為志道、據德、依仁、游藝之人文藝術專才。同時以「兼重在地特色與國際視野之藝術教育」、「培養兼具傳統素養與創新能力之藝術人才」、「強調融合創造力與應用力之藝術內涵」、「營造整合校園與周邊區域之藝術聚落」以及「建構全藝術交流與科藝整合之元宇宙空間」五大發展目標為基礎,擬訂校務發展計畫行動,盼能將科技與藝術跨領域結合,並以師生藝術創作、展演、研究及教育推廣之力量來關懷生命、服務社會,讓藝術之光度與強度在生活中自然發生,最終達成本校願景。"
113,公立,一般大學,0036,國立臺南大學,1719,1,1561,16,90.95,"國立臺南大學是南臺灣唯一百年綜合大學,創校至今118年,秉持傳統品德素養,志在培育具備「仁智誠正」之專業人才,經歷師專、師院改制,並於民國93年正式轉型為綜合大學,符應社會趨勢,不斷創新,陸續創立教育、人文與社會、藝術、理工、環境與生態、管理等6大學院21個學系,另設有25個碩士班、6個博士班,16個碩士在職專班。提供專業領域人才繼續深造之優良學習環境。本校立基臺南,以深耕在地,邁向國際為發展願景。除持續培育學生基本能力外,因應產業人才需求,與地區性產業進行產學合作,打造府城在地化特色大學。"
113,公立,一般大學,0037,國立臺北教育大學,1607,6,1532,50,95.82,"3個學院(教育學院、人文藝術學院、理學院)16個學系、24個碩士班、3個學位學程及5個博士班,深耕教育專業技能培能人才無數,榮獲教育部核定師資培育公費生,設有卓越師資獎學金培育小學、幼教、特教師資。教育學院文教法律、課程教學及心理諮商師的重要搖籃,栽培出全臺最多小學校長、教師；人文藝術學院深耕人文專業、滋養藝術設計與創意氛圍,培養出具備多元思辨與美感藝術與文創人才。理學院領航數學教育、科學教育,發展數位學習、AI、玩具遊戲設計和運動休閒產業,成為培育產學合作的重要生力軍。  畢業就業率歷年均高達96%以上/2021臺灣最佳大學排行榜文法商大學名列前15名/2021-2023進入英國高等教育調查QS大學排行榜「亞洲最佳大學前500大」/2022天下USR大學公民調查排行榜第四名/2021年臺灣最佳大學排行榜文法商大學名列前11強/111年第九屆教育部藝術教育貢獻獎大專組「績優學校獎」"
113,公立,一般大學,0039,國立臺中教育大學,1358,0,1318,33,97.12,"本校創建於1899年,融合百年師資培育之社會楷模理念、博雅專業理想與教育專業特色,已發展「教育學院」、「人文學院」、「理學院」及「管理學院」四個學院,是一所兼具文理藝術特色、教育研究專業、師資培育功能及產業創新發展人才培育的精緻大學。秉持「承百年師範,立未來教大」治校理念,因應社會環境變遷及全球化的挑戰,本校持續透過課程規劃,提升學生跨領域、雙語、量化分析及數位能力；運用數位化教學設備及社群共學合作,促進學生自主學習及教師教學研究能力；在教學面導入業界出題師生解題合作機制,彌縫學用落差並活化教學內容；在學生學習面,除鏈結在地區域需求鼓勵社會參與,培養人文關懷素養外,也積極擴展國際交流,提供交換生、雙聯學制、海外志工及實習等機會,開拓國際視野。本校透過課程學習與非課程活動薰陶,提升語言溝通、數位素養、量化分析、自主學習、問題解決的能力,培養能掌握社會脈動及運用科技工具的新世代師資與專業人才。"
113,公立,技專校院,0042,國立澎湖科技大學,761,0,498,2,65.53,"本校未來中長程校務發展目標旨在建構「島嶼產業應用型科技大學」,以澎湖離島特性,配合在地特色產業,以觀光遊憩、海洋水產及綠色能源為發展主軸,積極推動水產養殖、食品加工與安全、觀光休閒、海洋遊憩與綠能相關教學、研發與產學合作,並導入外來資源,以協助澎湖地方產業、經濟與文化之提升,強化學生專業學習與實務之連結,精進學生就業競爭力,以培育優質產業經營實務人才,並帶動地方繁榮與發展。"
113,公立,技專校院,0043,國立勤益科技大學,3172,5,2712,339,87.02,"一、本校學制包括：日間部(博士班、碩士班、產業碩士專班、四技、二技)、進修部(碩士在職專班、四技、二專、二技)。本校設置有工程、電資、管理、人文創意、通識教育等5個學院,系所包括：機械工程系、化工與材料工程系、冷凍空調與能源系(環境控制組、能源應用組)、智慧自動化工程系、電機工程系、電子工程系(綠能晶片與系統應用組、網路多媒體暨遊戲機組、智慧電子產品設計組)、資訊工程系、人工智慧應用工程系、工業工程與管理系、企業管理系、資訊管理系、流通管理系、健康產業科技研發與管理系、文化創意事業系、景觀系、應用英語系等。二、本校以「務實致用創新導向之優質產業科技大學」為發展願景,以「產業人才培育的搖籃」及「技術研發的基地」為發展目標,肩負科技校院培育優質技術人才的使命,善盡國立大學社會責任,促進學校永續經營與發展,以創新面對挑戰,永續學校發展。配合國家政策及產業人才需求,培育為社會所用之專業技術人才。"
